type,n,m,t,otps,cmps,iters
min,190,266,24,4,5,7
rnd,190,266,24,4,5,7
max,190,266,47,15,10,32
rnd,190,266,47,15,10,57
max,190,266,31,5,5,17
min,190,266,31,5,5,17
rnd,190,266,31,5,5,22
max,190,266,11,1,4,2
min,190,266,11,1,4,2
rnd,190,266,11,1,4,2
max,190,266,13,4,4,6
min,190,266,13,4,4,7
rnd,190,266,13,4,4,9
max,190,266,18,1,4,2
min,190,266,18,1,4,2
rnd,190,266,18,1,4,2
max,190,266,22,8,5,26
min,190,266,22,8,5,20
rnd,190,266,22,8,5,36
min,190,266,37,14,10,50
rnd,190,266,37,14,10,46
max,190,266,34,9,6,21
min,190,266,34,9,6,14
rnd,190,266,34,9,6,35
max,190,266,40,15,10,58
min,190,266,40,15,10,98
rnd,190,266,40,15,10,74
max,190,266,24,3,4,4
min,190,266,24,3,4,4
rnd,190,266,24,3,4,4
max,190,266,45,11,10,12
min,190,266,45,11,10,13
rnd,190,266,45,11,10,13
max,190,266,7,3,3,5
min,190,266,7,3,3,6
rnd,190,266,7,3,3,6
max,190,266,39,12,9,14
min,190,266,39,12,9,19
rnd,190,266,39,12,9,17
max,190,266,39,11,9,14
min,190,266,39,11,9,18
rnd,190,266,39,11,9,22
max,190,266,24,1,2,2
min,190,266,24,1,2,2
rnd,190,266,24,1,2,2
max,190,266,31,10,7,23
min,190,266,31,10,7,40
rnd,190,266,31,10,7,26
max,190,266,39,13,9,21
min,190,266,39,13,9,25
rnd,190,266,39,13,9,33
max,190,266,14,3,4,4
min,190,266,14,3,4,4
rnd,190,266,14,3,4,4
max,190,266,2,1,2,2
min,190,266,2,1,2,2
rnd,190,266,2,1,2,2
max,190,266,50,14,6,41
max,190,266,31,0,3,1
min,190,266,31,0,3,1
rnd,190,266,31,0,3,1
max,190,266,39,11,10,25
min,190,266,39,11,10,47
rnd,190,266,39,11,10,42
max,190,266,9,2,3,3
min,190,266,9,2,3,3
rnd,190,266,9,2,3,4
max,190,266,24,5,5,9
min,190,266,24,5,5,10
rnd,190,266,24,5,5,9
max,190,266,12,2,4,3
min,190,266,12,2,4,3
rnd,190,266,12,2,4,3
max,190,266,20,3,3,4
min,190,266,20,3,3,4
rnd,190,266,20,3,3,4
max,190,266,14,1,2,2
min,190,266,14,1,2,2
rnd,190,266,14,1,2,2
max,190,266,27,3,3,4
min,190,266,27,3,3,4
rnd,190,266,27,3,3,4
max,190,266,18,3,4,6
min,190,266,18,3,4,6
rnd,190,266,18,3,4,5
max,190,266,39,4,6,5
min,190,266,39,4,6,5
rnd,190,266,39,4,6,5
max,190,266,16,0,2,1
min,190,266,16,0,2,1
rnd,190,266,16,0,2,1
max,190,266,27,5,4,6
min,190,266,27,5,4,8
rnd,190,266,27,5,4,8
max,190,266,50,10,9,15
min,190,266,50,10,9,36
rnd,190,266,50,10,9,36
max,190,266,39,4,9,6
min,190,266,39,4,9,6
rnd,190,266,39,4,9,7
max,190,266,7,1,2,2
min,190,266,7,1,2,2
rnd,190,266,7,1,2,2
max,190,266,23,1,3,2
min,190,266,23,1,3,2
rnd,190,266,23,1,3,2
max,190,266,19,1,6,2
min,190,266,19,1,6,2
rnd,190,266,19,1,6,2
max,190,266,26,8,6,19
min,190,266,26,8,6,21
rnd,190,266,26,8,6,23
max,190,266,43,15,8,97
max,190,266,37,13,6,46
rnd,190,266,37,13,6,76
max,190,266,18,4,6,7
min,190,266,18,4,6,8
rnd,190,266,18,4,6,11
max,190,266,44,15,10,31
min,190,266,44,15,10,76
rnd,190,266,44,15,10,94
max,190,266,42,8,6,9
min,190,266,42,8,6,9
rnd,190,266,42,8,6,9
max,190,266,50,15,7,57
min,190,266,50,15,7,114
rnd,190,266,50,15,7,83
max,190,266,29,5,5,9
min,190,266,29,5,5,12
rnd,190,266,29,5,5,16
max,190,266,44,11,10,17
min,190,266,44,11,10,14
rnd,190,266,44,11,10,13
max,190,266,24,3,4,4
min,190,266,24,3,4,4
rnd,190,266,24,3,4,4
max,190,266,40,5,4,6
min,190,266,40,5,4,6
rnd,190,266,40,5,4,6
max,190,266,5,1,2,2
min,190,266,5,1,2,2
rnd,190,266,5,1,2,2
max,190,266,11,4,4,6
min,190,266,11,4,4,12
rnd,190,266,11,4,4,6
max,190,266,17,8,7,26
min,190,266,17,8,7,37
rnd,190,266,17,8,7,29
max,190,266,37,6,4,19
min,190,266,37,6,4,31
rnd,190,266,37,6,4,23
max,190,266,43,8,8,38
min,190,266,43,8,8,28
rnd,190,266,43,8,8,29
max,190,266,28,2,4,3
min,190,266,28,2,4,3
rnd,190,266,28,2,4,3
max,190,266,48,10,7,39
rnd,190,266,48,10,7,58
max,190,266,18,5,4,7
min,190,266,18,5,4,7
rnd,190,266,18,5,4,8
max,190,266,40,12,7,25
min,190,266,40,12,7,29
rnd,190,266,40,12,7,47
max,190,266,40,8,7,17
min,190,266,40,8,7,23
rnd,190,266,40,8,7,23
max,190,266,32,3,4,4
min,190,266,32,3,4,4
rnd,190,266,32,3,4,4
max,190,266,11,1,2,2
min,190,266,11,1,2,2
rnd,190,266,11,1,2,2
max,190,266,23,2,3,3
min,190,266,23,2,3,3
rnd,190,266,23,2,3,3
max,190,266,20,0,2,1
min,190,266,20,0,2,1
rnd,190,266,20,0,2,1
max,190,266,30,2,3,3
min,190,266,30,2,3,3
rnd,190,266,30,2,3,3
max,190,266,26,5,6,8
min,190,266,26,5,6,10
rnd,190,266,26,5,6,10
max,190,266,42,6,6,11
min,190,266,42,6,6,13
rnd,190,266,42,6,6,9
max,190,266,42,15,9,41
max,190,266,12,0,2,1
min,190,266,12,0,2,1
rnd,190,266,12,0,2,1
max,190,266,7,1,2,2
min,190,266,7,1,2,2
rnd,190,266,7,1,2,2
max,190,266,13,2,2,3
min,190,266,13,2,2,4
rnd,190,266,13,2,2,4
max,190,266,17,3,3,4
min,190,266,17,3,3,5
rnd,190,266,17,3,3,6
max,190,266,22,6,4,10
min,190,266,22,6,4,13
rnd,190,266,22,6,4,10
max,190,266,17,3,4,7
min,190,266,17,3,4,6
rnd,190,266,17,3,4,6
max,190,266,13,1,3,2
min,190,266,13,1,3,2
rnd,190,266,13,1,3,2
max,190,266,38,12,10,40
min,190,266,38,12,10,31
rnd,190,266,38,12,10,41
max,190,266,7,1,2,2
min,190,266,7,1,2,2
rnd,190,266,7,1,2,2
max,190,266,19,1,3,2
min,190,266,19,1,3,2
rnd,190,266,19,1,3,2
max,190,266,9,2,3,4
min,190,266,9,2,3,4
rnd,190,266,9,2,3,4
max,190,266,37,4,5,6
min,190,266,37,4,5,6
rnd,190,266,37,4,5,6
max,190,266,32,9,6,13
min,190,266,32,9,6,42
rnd,190,266,32,9,6,31
max,190,266,26,2,3,3
min,190,266,26,2,3,3
rnd,190,266,26,2,3,3
max,190,266,23,8,6,21
min,190,266,23,8,6,32
rnd,190,266,23,8,6,29
max,190,266,29,8,6,16
