type,n,m,t,otps,cmps,iters
min,55,58,10,16,8,118
rnd,55,58,10,16,8,127
max,55,58,10,20,10,21
min,55,58,10,20,10,224
rnd,55,58,10,20,10,793
max,55,58,16,32,11,33
min,55,58,16,32,11,417
rnd,55,58,16,32,11,904
max,55,58,12,21,10,22
min,55,58,12,21,10,45
rnd,55,58,12,21,10,96
max,55,58,23,121,19,363
max,55,58,9,15,7,30
min,55,58,9,15,7,61
rnd,55,58,9,15,7,58
max,55,58,17,36,14,84
rnd,55,58,17,36,14,70
max,55,58,6,10,5,14
min,55,58,6,10,5,23
rnd,55,58,6,10,5,51
max,55,58,9,11,5,17
min,55,58,9,11,5,57
rnd,55,58,9,11,5,20
max,55,58,7,12,6,16
min,55,58,7,12,6,60
rnd,55,58,7,12,6,26
max,55,58,6,8,6,9
min,55,58,6,8,6,24
rnd,55,58,6,8,6,9
max,55,58,7,11,7,19
min,55,58,7,11,7,103
rnd,55,58,7,11,7,24
max,55,58,20,41,16,106
max,55,58,14,40,11,41
min,55,58,14,40,11,125
rnd,55,58,14,40,11,88
max,55,58,11,15,8,16
min,55,58,11,15,8,150
rnd,55,58,11,15,8,16
max,55,58,7,6,6,10
min,55,58,7,6,6,14
rnd,55,58,7,6,6,7
max,55,58,7,9,7,16
min,55,58,7,9,7,60
rnd,55,58,7,9,7,28
max,55,58,4,5,5,6
min,55,58,4,5,5,12
rnd,55,58,4,5,5,11
max,55,58,12,21,10,22
min,55,58,12,21,10,118
rnd,55,58,12,21,10,33
max,55,58,23,57,18,58
rnd,55,58,23,57,18,155
max,55,58,2,2,3,3
min,55,58,2,2,3,3
rnd,55,58,2,2,3,3
max,55,58,17,43,11,98
rnd,55,58,17,43,11,1223
max,55,58,24,104,18,194
max,55,58,9,10,7,11
min,55,58,9,10,7,23
rnd,55,58,9,10,7,20
max,55,58,8,9,6,10
min,55,58,8,9,6,50
rnd,55,58,8,9,6,31
max,55,58,15,30,13,31
rnd,55,58,15,30,13,778
max,55,58,22,82,16,176
max,55,58,19,34,12,66
min,55,58,19,34,12,489
rnd,55,58,19,34,12,901
max,55,58,16,30,13,31
min,55,58,16,30,13,498
rnd,55,58,16,30,13,178
max,55,58,4,2,2,3
min,55,58,4,2,2,3
rnd,55,58,4,2,2,3
max,55,58,20,42,13,64
rnd,55,58,20,42,13,568
max,55,58,4,5,5,6
min,55,58,4,5,5,10
rnd,55,58,4,5,5,6
max,55,58,8,11,6,12
min,55,58,8,11,6,49
rnd,55,58,8,11,6,13
max,55,58,4,2,3,3
min,55,58,4,2,3,3
rnd,55,58,4,2,3,3
max,55,58,7,11,5,12
min,55,58,7,11,5,16
rnd,55,58,7,11,5,12
max,55,58,8,14,6,15
min,55,58,8,14,6,59
