type,n,m,t,otps,cmps,iters
min,120,305,49,3,2,4
rnd,120,305,49,3,2,4
max,120,305,31,1,2,2
min,120,305,31,1,2,2
rnd,120,305,31,1,2,2
max,120,305,120,19,5,20
min,120,305,120,19,5,44
rnd,120,305,120,19,5,30
max,120,305,102,7,4,8
min,120,305,102,7,4,15
rnd,120,305,102,7,4,11
max,120,305,72,3,2,4
min,120,305,72,3,2,4
rnd,120,305,72,3,2,4
max,120,305,130,7,2,8
min,120,305,130,7,2,9
rnd,120,305,130,7,2,10
max,120,305,72,5,2,6
min,120,305,72,5,2,6
rnd,120,305,72,5,2,6
max,120,305,104,10,3,13
min,120,305,104,10,3,50
rnd,120,305,104,10,3,30
max,120,305,131,9,3,13
min,120,305,131,9,3,26
rnd,120,305,131,9,3,16
max,120,305,9,1,2,2
min,120,305,9,1,2,2
rnd,120,305,9,1,2,2
max,120,305,102,1,2,2
min,120,305,102,1,2,2
rnd,120,305,102,1,2,2
max,120,305,92,7,3,8
min,120,305,92,7,3,8
rnd,120,305,92,7,3,8
max,120,305,117,11,3,15
min,120,305,117,11,3,20
rnd,120,305,117,11,3,17
max,120,305,121,10,5,11
min,120,305,121,10,5,11
rnd,120,305,121,10,5,11
max,120,305,48,3,2,4
min,120,305,48,3,2,4
rnd,120,305,48,3,2,4
max,120,305,50,1,2,2
min,120,305,50,1,2,2
rnd,120,305,50,1,2,2
max,120,305,131,12,4,19
min,120,305,131,12,4,63
rnd,120,305,131,12,4,30
max,120,305,79,3,3,4
min,120,305,79,3,3,4
rnd,120,305,79,3,3,4
max,120,305,115,8,3,13
min,120,305,115,8,3,33
rnd,120,305,115,8,3,18
max,120,305,38,4,3,5
min,120,305,38,4,3,5
rnd,120,305,38,4,3,5
max,120,305,108,16,4,46
min,120,305,108,16,4,104
rnd,120,305,108,16,4,63
max,120,305,86,10,4,11
min,120,305,86,10,4,13
rnd,120,305,86,10,4,12
max,120,305,46,3,2,4
min,120,305,46,3,2,4
rnd,120,305,46,3,2,4
max,120,305,127,23,4,48
rnd,120,305,127,23,4,96
max,120,305,96,6,3,7
min,120,305,96,6,3,7
rnd,120,305,96,6,3,7
max,120,305,69,3,2,4
min,120,305,69,3,2,4
rnd,120,305,69,3,2,4
