type,n,m,t,otps,cmps,iters
max,68,115,38,12,2,29
min,68,115,38,12,2,61
rnd,68,115,38,12,2,42
max,68,115,28,7,3,14
min,68,115,28,7,3,100
rnd,68,115,28,7,3,74
max,68,115,40,10,3,16
min,68,115,40,10,3,50
rnd,68,115,40,10,3,34
max,68,115,26,7,2,8
min,68,115,26,7,2,14
rnd,68,115,26,7,2,10
max,68,115,23,4,2,5
min,68,115,23,4,2,16
rnd,68,115,23,4,2,6
max,68,115,28,5,2,6
min,68,115,28,5,2,6
rnd,68,115,28,5,2,6
max,68,115,27,11,2,18
min,68,115,27,11,2,465
rnd,68,115,27,11,2,44
max,68,115,38,23,4,85
rnd,68,115,38,23,4,539
max,68,115,29,6,2,10
min,68,115,29,6,2,56
rnd,68,115,29,6,2,15
max,68,115,15,5,2,6
min,68,115,15,5,2,6
rnd,68,115,15,5,2,6
max,68,115,31,2,2,3
min,68,115,31,2,2,4
rnd,68,115,31,2,2,4
max,68,115,22,3,2,4
min,68,115,22,3,2,6
rnd,68,115,22,3,2,4
max,68,115,13,2,2,3
min,68,115,13,2,2,3
rnd,68,115,13,2,2,3
max,68,115,37,39,4,201
min,68,115,37,39,4,1728
rnd,68,115,37,39,4,329
max,68,115,23,9,3,14
min,68,115,23,9,3,41
rnd,68,115,23,9,3,29
max,68,115,24,9,3,10
min,68,115,24,9,3,10
rnd,68,115,24,9,3,10
max,68,115,33,7,2,9
min,68,115,33,7,2,27
rnd,68,115,33,7,2,23
max,68,115,36,18,3,23
min,68,115,36,18,3,123
rnd,68,115,36,18,3,50
max,68,115,25,4,2,8
min,68,115,25,4,2,8
rnd,68,115,25,4,2,7
max,68,115,38,25,2,75
rnd,68,115,38,25,2,316
max,68,115,25,6,2,7
min,68,115,25,6,2,16
rnd,68,115,25,6,2,19
max,68,115,32,7,2,13
min,68,115,32,7,2,41
rnd,68,115,32,7,2,31
max,68,115,29,4,2,6
min,68,115,29,4,2,13
rnd,68,115,29,4,2,9
max,68,115,29,5,2,8
min,68,115,29,5,2,14
rnd,68,115,29,5,2,10
max,68,115,26,2,2,3
min,68,115,26,2,2,4
rnd,68,115,26,2,2,3
max,68,115,40,27,3,296
max,68,115,35,18,3,32
rnd,68,115,35,18,3,93
max,68,115,32,4,2,7
min,68,115,32,4,2,5
rnd,68,115,32,4,2,5
max,68,115,40,15,3,67
min,68,115,40,15,3,427
rnd,68,115,40,15,3,138
max,68,115,35,28,3,33
min,68,115,35,28,3,359
rnd,68,115,35,28,3,55
max,68,115,38,9,4,10
min,68,115,38,9,4,10
rnd,68,115,38,9,4,10
max,68,115,18,2,2,3
min,68,115,18,2,2,4
rnd,68,115,18,2,2,3
max,68,115,32,22,4,37
min,68,115,32,22,4,93
rnd,68,115,32,22,4,82
max,68,115,36,20,4,339
rnd,68,115,36,20,4,518
max,68,115,18,8,2,14
min,68,115,18,8,2,14
rnd,68,115,18,8,2,39
max,68,115,26,6,3,15
